edge,weight
0-1,429.64
0-2,441.47
0-3,519.78
0-4,5681.82
0-5,1702.83
0-6,1980.99
0-7,4282.24
0-8,102.55
0-9,1706.73
1-2,467.9
1-3,567.61
1-4,516.03
1-5,567.85
1-6,105.73
1-7,887.27
1-8,1980.43
1-9,400.58
2-3,1037.41
2-4,2142.97
2-5,4829.3
2-6,1090.6
2-7,1674.43
2-8,1637.86
2-9,2138.03
3-4,942.79
3-5,4011.95
3-6,508.56
3-7,1078.75
3-8,434.79
3-9,2089.09
4-5,1870.82
4-6,1049.11
4-7,4125.18
4-8,2004.15
4-9,2357.87
5-6,2380.31
5-7,4968.92
5-8,5854.14
5-9,4076.52
6-7,1155.24
6-8,4332.22
6-9,1674.99
7-8,2176.45
7-9,1140.35
8-9,814.24
