edge,weight
0-1,2165.01
0-2,4627.11
0-3,1675.91
0-4,4786.47
0-5,489.49
0-6,991.58
0-7,423.59
0-8,1140.15
0-9,516.41
1-2,5785.68
1-3,906.0
1-4,112.6
1-5,808.23
1-6,514.19
1-7,1744.68
1-8,81.45
1-9,106.29
2-3,526.76
2-4,807.85
2-5,1018.05
2-6,4515.96
2-7,1895.74
2-8,419.17
2-9,4083.1
3-4,2399.81
3-5,5070.13
3-6,992.7
3-7,556.18
3-8,2212.64
3-9,101.94
4-5,1835.63
4-6,910.9
4-7,110.78
4-8,535.75
4-9,1193.72
5-6,4551.23
5-7,105.34
5-8,1062.98
5-9,439.94
6-7,1016.86
6-8,1190.5
6-9,110.91
7-8,105.47
7-9,546.42
8-9,90.36
