node_id,city,country,latitude,longitude,region,timezone
0,Rochester,USA,44.038836,-92.476827,north_america,America/Chicago
1,Baltimore,USA,39.275151,-76.660523,europe,America/New_York
2,Palo Alto,USA,37.405448,-122.15401,asia_pacific,America/Los_Angeles
3,Boston,USA,42.341231,-71.052189,south_america,America/New_York
4,Los Angeles,USA,34.030212,-118.234499,africa,America/Los_Angeles
5,London,UK,51.554329,-0.09878,north_america,Europe/London
6,Paris,France,48.826589,2.357097,europe,Europe/Paris
7,Tokyo,Japan,35.720345,139.658766,asia_pacific,Asia/Tokyo
8,Singapore,Singapore,1.328217,103.845905,south_america,Asia/Singapore
9,Sydney,Australia,-33.824637,151.212113,africa,Australia/Sydney
