edge,weight
0-1,2158.9
0-2,922.07
0-3,5737.94
0-4,2293.98
0-5,1759.16
0-6,566.82
0-7,1719.9
0-8,1061.62
0-9,4192.72
0-10,416.33
0-11,866.3
0-12,5554.3
0-13,466.26
0-14,4579.93
1-2,112.15
1-3,2336.71
1-4,1152.28
1-5,594.62
1-6,552.96
1-7,557.26
1-8,106.42
1-9,2152.82
1-10,567.57
1-11,938.57
1-12,988.58
1-13,2018.97
1-14,96.0
2-3,86.82
2-4,1871.73
2-5,95.05
2-6,866.15
2-7,463.67
2-8,88.66
2-9,5513.84
2-10,4608.55
2-11,446.04
2-12,93.05
2-13,587.87
2-14,586.33
3-4,1196.99
3-5,103.28
3-6,4735.8
3-7,562.68
3-8,1020.46
3-9,809.21
3-10,92.83
3-11,833.11
3-12,96.54
3-13,892.26
3-14,83.1
4-5,2384.0
4-6,413.17
4-7,1184.99
4-8,113.43
4-9,873.68
4-10,84.42
4-11,443.05
4-12,1775.96
4-13,556.35
4-14,101.67
5-6,486.51
5-7,93.25
5-8,1983.16
5-9,1962.91
5-10,93.47
5-11,841.75
5-12,1611.47
5-13,110.89
5-14,1622.87
6-7,929.78
6-8,836.54
6-9,560.18
6-10,4508.26
6-11,575.13
6-12,4575.98
6-13,1077.67
6-14,5972.31
7-8,98.53
7-9,2277.98
7-10,86.05
7-11,5884.95
7-12,117.39
7-13,418.64
7-14,422.84
8-9,432.18
8-10,498.38
8-11,873.04
8-12,1667.66
8-13,522.6
8-14,2062.64
9-10,5029.43
9-11,430.98
9-12,5109.86
9-13,4446.72
9-14,1743.21
10-11,506.5
10-12,854.33
10-13,431.62
10-14,589.07
11-12,2116.33
11-13,4829.61
11-14,1691.8
12-13,1712.39
12-14,112.93
13-14,106.19
