node_id,node_identifier,bandwidth_mbps,compute_capability,cpu_cores,data_compliance,gpu_count,memory_gb,node_type,reliability_score,security_level,storage_gb
0,hospital_000,2000,tier_1,128,PIPEDA,4,256,tier1_hospital,0.973,high,10000
1,clinic_001,2000,tier_2,32,local,4,256,tier2_hospital,0.951,critical,5000
2,research_center_002,20000,tier_3,64,HIPAA,16,512,research_center,0.992,standard,100000
3,mobile_unit_003,100,tier_1,4,PIPEDA,2,16,mobile_unit,0.828,critical,5000
4,edge_device_004,50,tier_2,8,local,0,32,edge_device,0.801,standard,1000
5,hospital_005,2000,tier_1,64,local,4,512,tier1_hospital,0.957,critical,50000
6,clinic_006,5000,tier_2,32,HIPAA,8,64,tier2_hospital,0.972,standard,20000
7,research_center_007,5000,tier_3,256,PIPEDA,8,256,research_center,0.987,standard,100000
8,mobile_unit_008,1000,tier_1,4,HIPAA,2,32,mobile_unit,0.765,critical,1000
9,edge_device_009,50,tier_2,4,GDPR,1,8,edge_device,0.756,high,1000
10,hospital_010,5000,tier_1,128,PIPEDA,16,512,tier1_hospital,0.951,critical,50000
11,clinic_011,1000,tier_2,64,PIPEDA,4,128,tier2_hospital,0.915,standard,5000
12,research_center_012,20000,tier_3,256,local,8,1024,research_center,0.997,standard,20000
13,mobile_unit_013,1000,tier_1,8,local,1,64,mobile_unit,0.84,high,5000
14,edge_device_014,500,tier_2,2,PIPEDA,0,8,edge_device,0.771,high,2000
15,hospital_015,5000,tier_1,64,HIPAA,16,128,tier1_hospital,0.98,high,20000
16,clinic_016,2000,tier_2,64,HIPAA,2,128,tier2_hospital,0.97,standard,10000
17,research_center_017,20000,tier_3,64,GDPR,32,1024,research_center,0.981,critical,50000
18,mobile_unit_018,1000,tier_1,16,PIPEDA,2,32,mobile_unit,0.848,critical,1000
19,edge_device_019,50,tier_2,4,HIPAA,1,8,edge_device,0.749,high,500
