node_id,admin_level,certification,city,country,department,established_year,funding_source,institution_name,institution_type,region,staff_count,timezone
0,national,ISO27001,Rochester,USA,radiology,1953,research_grant,mayo_clinic,tier1_hospital,north_america,4296,America/Chicago
1,international,FedRAMP,Baltimore,USA,oncology,1997,private,johns_hopkins,tier2_hospital,europe,1399,America/New_York
2,local,ISO27001,Palo Alto,USA,cardiology,2013,research_grant,stanford_med,research_center,asia_pacific,4996,America/Los_Angeles
3,international,ISO27001,Boston,USA,neurology,1962,mixed,mass_general,mobile_unit,south_america,4741,America/New_York
4,international,FedRAMP,Los Angeles,USA,pathology,1961,research_grant,ucla_health,edge_device,africa,2781,America/Los_Angeles
5,regional,FedRAMP,London,UK,radiology,2018,mixed,mayo_clinic,tier1_hospital,north_america,1040,Europe/London
6,international,HIPAA_compliant,Paris,France,oncology,1964,private,johns_hopkins,tier2_hospital,europe,2860,Europe/Paris
7,local,FedRAMP,Tokyo,Japan,cardiology,1980,mixed,stanford_med,research_center,asia_pacific,3519,Asia/Tokyo
8,international,FedRAMP,Singapore,Singapore,neurology,1953,mixed,mass_general,mobile_unit,south_america,2952,Asia/Singapore
9,local,SOC2,Sydney,Australia,pathology,2004,research_grant,ucla_health,edge_device,africa,4805,Australia/Sydney
