edge,weight
0-1,112.05
0-2,89.87
0-3,99.5
0-4,116.4
0-5,442.79
0-6,501.94
0-7,418.36
0-8,423.55
0-9,524.23
1-2,466.69
1-3,2115.06
1-4,1185.96
1-5,2167.85
1-6,907.68
1-7,91.11
1-8,1139.19
1-9,1177.95
2-3,2261.55
2-4,2380.61
2-5,899.47
2-6,2399.64
2-7,577.37
2-8,4530.93
2-9,4259.04
3-4,100.73
3-5,2171.82
3-6,4754.27
3-7,86.27
3-8,112.5
3-9,4819.88
4-5,581.32
4-6,1176.78
4-7,870.1
4-8,118.87
4-9,88.84
5-6,922.77
5-7,5462.5
5-8,5045.37
5-9,5781.87
6-7,2050.34
6-8,410.78
6-9,1658.46
7-8,1959.08
7-9,1038.07
8-9,4298.4
