edge,weight
0-1,951.67
0-2,1985.0
0-3,4208.23
0-4,93.32
0-5,548.7
0-6,5538.13
0-7,93.27
0-8,2187.38
0-9,88.28
1-2,1794.41
1-3,967.92
1-4,553.2
1-5,474.19
1-6,5083.28
1-7,461.99
1-8,1099.67
1-9,507.67
2-3,1864.29
2-4,531.78
2-5,463.15
2-6,2017.13
2-7,944.51
2-8,1074.3
2-9,875.12
3-4,1110.13
3-5,808.56
3-6,96.93
3-7,105.51
3-8,116.9
3-9,844.29
4-5,86.94
4-6,92.11
4-7,516.14
4-8,5592.21
4-9,5535.72
5-6,4207.85
5-7,1072.6
5-8,2236.99
5-9,1125.95
6-7,1191.21
6-8,552.93
6-9,4784.99
7-8,97.34
7-9,118.08
8-9,4080.25
