edge,weight
0-1,598.11
0-2,100.14
0-3,424.1
0-4,433.8
0-5,1142.99
0-6,547.72
0-7,111.61
0-8,5539.55
0-9,587.83
1-2,488.41
1-3,4837.19
1-4,5721.11
1-5,2163.97
1-6,102.82
1-7,1086.73
1-8,1765.57
1-9,2321.43
2-3,2268.09
2-4,107.44
2-5,489.25
2-6,5087.64
2-7,1655.94
2-8,93.35
2-9,1129.07
3-4,99.55
3-5,561.5
3-6,900.47
3-7,1149.12
3-8,1889.91
3-9,84.1
4-5,530.35
4-6,2393.06
4-7,84.01
4-8,576.04
4-9,477.03
5-6,96.5
5-7,4730.59
5-8,2216.69
5-9,1656.66
6-7,594.43
6-8,882.55
6-9,491.21
7-8,993.34
7-9,2012.23
8-9,417.06
