node_id,admin_level,certification,city,country,department,established_year,funding_source,institution_name,institution_type,region,staff_count,timezone
0,regional,FedRAMP,Rochester,USA,radiology,1994,private,mayo_clinic,tier1_hospital,north_america,2609,America/Chicago
1,regional,FedRAMP,Baltimore,USA,oncology,2020,private,johns_hopkins,tier2_hospital,europe,1194,America/New_York
2,local,SOC2,Palo Alto,USA,cardiology,2001,public,stanford_med,research_center,asia_pacific,1489,America/Los_Angeles
3,local,ISO27001,Boston,USA,neurology,1977,public,mass_general,mobile_unit,south_america,2611,America/New_York
4,national,ISO27001,Los Angeles,USA,pathology,1967,public,ucla_health,edge_device,africa,1883,America/Los_Angeles
5,regional,SOC2,London,UK,radiology,1961,mixed,mayo_clinic,tier1_hospital,north_america,2707,Europe/London
6,regional,FedRAMP,Paris,France,oncology,1950,public,johns_hopkins,tier2_hospital,europe,1872,Europe/Paris
7,national,SOC2,Tokyo,Japan,cardiology,1954,research_grant,stanford_med,research_center,asia_pacific,4714,Asia/Tokyo
8,regional,SOC2,Singapore,Singapore,neurology,1979,mixed,mass_general,mobile_unit,south_america,3498,Asia/Singapore
9,international,ISO27001,Sydney,Australia,pathology,1974,private,ucla_health,edge_device,africa,3541,Australia/Sydney
