node_id,node_identifier,bandwidth_mbps,compute_capability,cpu_cores,data_compliance,gpu_count,memory_gb,node_type,reliability_score,security_level,storage_gb
0,hospital_000,5000,tier_1,32,local,8,128,tier1_hospital,0.961,critical,50000
1,clinic_001,5000,tier_2,32,GDPR,2,128,tier2_hospital,0.945,standard,20000
2,research_center_002,10000,tier_3,256,local,16,512,research_center,0.996,critical,100000
3,mobile_unit_003,1000,tier_1,16,GDPR,2,64,mobile_unit,0.874,critical,2000
4,edge_device_004,500,tier_2,2,GDPR,1,16,edge_device,0.739,critical,2000
5,hospital_005,5000,tier_1,128,HIPAA,4,512,tier1_hospital,0.989,critical,20000
6,clinic_006,5000,tier_2,32,HIPAA,2,256,tier2_hospital,0.972,high,5000
7,research_center_007,20000,tier_3,64,GDPR,8,1024,research_center,0.998,high,50000
8,mobile_unit_008,500,tier_1,16,PIPEDA,2,32,mobile_unit,0.818,high,1000
9,edge_device_009,500,tier_2,2,local,0,32,edge_device,0.751,high,500
