node_id,node_identifier,bandwidth_mbps,compute_capability,cpu_cores,data_compliance,gpu_count,memory_gb,node_type,reliability_score,security_level,storage_gb
0,hospital_000,10000,tier_1,64,local,4,512,tier1_hospital,0.988,high,10000
1,clinic_001,5000,tier_2,64,local,8,256,tier2_hospital,0.901,standard,5000
2,research_center_002,5000,tier_3,128,local,8,256,research_center,0.987,standard,100000
3,mobile_unit_003,500,tier_1,8,PIPEDA,2,16,mobile_unit,0.774,critical,2000
4,edge_device_004,50,tier_2,8,HIPAA,1,8,edge_device,0.779,high,500
5,hospital_005,5000,tier_1,64,HIPAA,16,512,tier1_hospital,0.996,standard,20000
6,clinic_006,5000,tier_2,32,local,4,256,tier2_hospital,0.975,critical,10000
7,research_center_007,5000,tier_3,128,GDPR,32,512,research_center,0.986,standard,50000
8,mobile_unit_008,500,tier_1,8,PIPEDA,2,32,mobile_unit,0.768,standard,2000
9,edge_device_009,500,tier_2,4,PIPEDA,0,32,edge_device,0.726,standard,1000
