timestamp,round_num,total_clients,sampled_clients,num_sampled_clients,client_sampling_rate,actual_client_rate,data_sampling_rates,total_data_points,sampled_data_points,actual_data_rate
1753374724.0975428,1,10,"[5, 4, 3, 6, 9, 0]",6,0.6,0.6,"{5: 1.0, 4: 1.0, 3: 1.0, 6: 1.0, 9: 1.0, 0: 1.0}",,,
1753374753.2238328,2,10,"[6, 9, 1, 5, 8, 2]",6,0.6,0.6,"{6: 1.0, 9: 1.0, 1: 1.0, 5: 1.0, 8: 1.0, 2: 1.0}",,,
1753374783.513408,3,10,"[1, 4, 6, 7, 0, 2]",6,0.6,0.6,"{1: 1.0, 4: 1.0, 6: 1.0, 7: 1.0, 0: 1.0, 2: 1.0}",,,
1753374806.5933967,4,10,"[0, 3, 2, 8, 4, 5]",6,0.6,0.6,"{0: 1.0, 3: 1.0, 2: 1.0, 8: 1.0, 4: 1.0, 5: 1.0}",,,
1753374814.1021926,5,10,"[9, 7, 6, 4, 8, 1]",6,0.6,0.6,"{9: 1.0, 7: 1.0, 6: 1.0, 4: 1.0, 8: 1.0, 1: 1.0}",,,
1753374821.679339,6,10,"[6, 0, 7, 4, 2, 5]",6,0.6,0.6,"{6: 1.0, 0: 1.0, 7: 1.0, 4: 1.0, 2: 1.0, 5: 1.0}",,,
1753374828.496162,7,10,"[3, 4, 9, 5, 8, 0]",6,0.6,0.6,"{3: 1.0, 4: 1.0, 9: 1.0, 5: 1.0, 8: 1.0, 0: 1.0}",,,
1753374836.1399474,8,10,"[7, 6, 8, 0, 9, 3]",6,0.6,0.6,"{7: 1.0, 6: 1.0, 8: 1.0, 0: 1.0, 9: 1.0, 3: 1.0}",,,
1753374843.942245,9,10,"[1, 7, 8, 9, 4, 6]",6,0.6,0.6,"{1: 1.0, 7: 1.0, 8: 1.0, 9: 1.0, 4: 1.0, 6: 1.0}",,,
1753374851.9957294,10,10,"[8, 6, 7, 0, 3, 1]",6,0.6,0.6,"{8: 1.0, 6: 1.0, 7: 1.0, 0: 1.0, 3: 1.0, 1: 1.0}",,,
