node_id,node_identifier,bandwidth_mbps,compute_capability,cpu_cores,data_compliance,gpu_count,memory_gb,node_type,reliability_score,security_level,storage_gb
0,hospital_000,10000,tier_1,32,HIPAA,4,512,tier1_hospital,0.951,critical,50000
1,clinic_001,5000,tier_2,16,HIPAA,2,256,tier2_hospital,0.927,critical,10000
2,research_center_002,5000,tier_3,64,local,32,512,research_center,0.981,critical,100000
3,mobile_unit_003,500,tier_1,8,GDPR,1,64,mobile_unit,0.758,high,5000
4,edge_device_004,50,tier_2,4,GDPR,0,16,edge_device,0.86,critical,500
5,hospital_005,5000,tier_1,64,PIPEDA,16,128,tier1_hospital,0.976,critical,20000
6,clinic_006,5000,tier_2,32,HIPAA,2,64,tier2_hospital,0.909,high,10000
7,research_center_007,20000,tier_3,128,PIPEDA,32,1024,research_center,1.0,critical,20000
8,mobile_unit_008,500,tier_1,4,local,1,32,mobile_unit,0.819,high,5000
9,edge_device_009,100,tier_2,4,local,0,8,edge_device,0.831,high,1000
10,hospital_010,2000,tier_1,32,PIPEDA,8,256,tier1_hospital,0.987,high,20000
11,clinic_011,1000,tier_2,64,HIPAA,8,128,tier2_hospital,0.932,high,20000
12,research_center_012,5000,tier_3,64,PIPEDA,32,1024,research_center,0.996,critical,20000
13,mobile_unit_013,500,tier_1,4,local,1,32,mobile_unit,0.802,high,5000
14,edge_device_014,50,tier_2,2,GDPR,0,32,edge_device,0.817,high,1000
