edge,weight
0-1,94.82
0-2,576.36
0-3,572.81
0-4,104.45
0-5,1197.33
0-6,1986.07
0-7,93.61
0-8,851.7
0-9,4001.73
0-10,803.03
0-11,4127.45
0-12,832.98
0-13,106.02
0-14,5019.2
1-2,5364.33
1-3,1768.71
1-4,90.18
1-5,4920.42
1-6,106.93
1-7,4761.2
1-8,101.53
1-9,84.36
1-10,592.26
1-11,2108.96
1-12,860.5
1-13,92.7
1-14,452.07
2-3,543.46
2-4,4922.76
2-5,102.57
2-6,562.16
2-7,112.64
2-8,1783.53
2-9,92.13
2-10,400.88
2-11,462.07
2-12,93.3
2-13,103.96
2-14,1613.06
3-4,88.66
3-5,4642.0
3-6,4188.48
3-7,919.55
3-8,974.93
3-9,596.75
3-10,965.62
3-11,840.01
3-12,108.08
3-13,571.73
3-14,1009.95
4-5,4992.61
4-6,519.15
4-7,522.3
4-8,4114.03
4-9,1660.71
4-10,2223.36
4-11,4669.19
4-12,92.06
4-13,2368.58
4-14,5958.45
5-6,85.63
5-7,114.89
5-8,474.94
5-9,4080.1
5-10,521.18
5-11,5121.67
5-12,504.01
5-13,488.7
5-14,934.44
6-7,414.42
6-8,849.97
6-9,954.29
6-10,1801.81
6-11,5842.42
6-12,5270.4
6-13,554.27
6-14,5371.23
7-8,91.56
7-9,561.54
7-10,5977.73
7-11,1075.06
7-12,542.6
7-13,88.2
7-14,1804.04
8-9,87.71
8-10,4758.26
8-11,2021.54
8-12,97.66
8-13,98.12
8-14,4385.67
9-10,83.75
9-11,828.86
9-12,441.43
9-13,2125.15
9-14,584.25
10-11,86.46
10-12,117.94
10-13,5969.21
10-14,5295.75
11-12,2134.09
11-13,2218.22
11-14,526.77
12-13,596.87
12-14,1611.79
13-14,4714.76
