edge,weight
0-1,996.22
0-2,5712.7
0-3,81.19
0-4,2313.94
0-5,1658.47
0-6,5007.4
0-7,840.27
0-8,2014.57
0-9,87.59
1-2,100.33
1-3,2050.42
1-4,1186.15
1-5,104.42
1-6,2351.76
1-7,2143.57
1-8,5663.03
1-9,571.25
2-3,1905.41
2-4,2368.11
2-5,115.56
2-6,450.61
2-7,1168.42
2-8,1768.58
2-9,114.92
3-4,458.44
3-5,4846.05
3-6,1161.02
3-7,99.18
3-8,585.18
3-9,4216.82
4-5,107.45
4-6,521.0
4-7,2185.6
4-8,802.8
4-9,828.38
5-6,986.27
5-7,1129.1
5-8,549.36
5-9,4416.16
6-7,2120.45
6-8,5370.01
6-9,110.21
7-8,531.32
7-9,110.2
8-9,91.24
