edge,weight
0-1,1125.61
0-2,5567.42
0-3,109.97
0-4,5019.9
0-5,1861.85
0-6,1963.04
0-7,88.47
0-8,507.71
0-9,109.0
1-2,113.42
1-3,1192.34
1-4,1958.75
1-5,115.76
1-6,109.13
1-7,532.7
1-8,1060.23
1-9,4978.4
2-3,80.01
2-4,476.52
2-5,404.26
2-6,1711.05
2-7,466.89
2-8,116.39
2-9,1195.65
3-4,1043.49
3-5,1017.08
3-6,95.06
3-7,5594.63
3-8,4474.95
3-9,1070.62
4-5,83.74
4-6,1696.0
4-7,1929.89
4-8,474.68
4-9,94.85
5-6,1187.68
5-7,520.53
5-8,2172.67
5-9,2094.21
6-7,5880.88
6-8,111.53
6-9,422.85
7-8,116.93
7-9,2164.18
8-9,5032.94
