round_num,node_0,node_1,node_2,node_3,node_4
1,3.3997318744659424,3.2733170986175537,3.2733170986175537,3.4444234371185303,3.2733170986175537
2,3.3380634784698486,3.291987180709839,3.291987180709839,3.3354580402374268,3.291987180709839
3,3.306011438369751,3.296596050262451,3.3896145820617676,3.296596050262451,3.296596050262451
4,3.3302557468414307,3.2928812503814697,3.2928812503814697,3.3343076705932617,3.2928812503814697
5,3.2956089973449707,3.4229273796081543,3.2956089973449707,3.2956089973449707,3.481085777282715
6,3.3183486461639404,3.4127063751220703,3.3183486461639404,3.3747401237487793,3.3183486461639404
7,3.336373805999756,3.3762269020080566,3.336373805999756,3.336373805999756,3.4096755981445312
8,3.3537049293518066,3.346196174621582,3.346196174621582,3.4026427268981934,3.346196174621582
9,3.3465845584869385,3.3465845584869385,3.386794328689575,3.358302116394043,3.3465845584869385
10,3.3440639972686768,3.399094343185425,3.3905951976776123,3.3440639972686768,3.3440639972686768
