edge,weight
0-1,585.3
0-2,881.75
0-3,858.28
0-4,550.02
0-5,1903.33
0-6,5443.1
0-7,458.01
0-8,110.63
0-9,493.8
1-2,1812.13
1-3,852.61
1-4,2037.94
1-5,590.12
1-6,5248.21
1-7,1054.31
1-8,896.67
1-9,5756.04
2-3,1037.95
2-4,5228.08
2-5,597.67
2-6,2238.02
2-7,576.62
2-8,5388.68
2-9,1756.77
3-4,596.09
3-5,1867.71
3-6,438.29
3-7,800.52
3-8,2356.15
3-9,501.06
4-5,919.04
4-6,920.45
4-7,1080.45
4-8,452.13
4-9,429.29
5-6,81.58
5-7,1188.62
5-8,85.75
5-9,5610.6
6-7,2186.87
6-8,2043.43
6-9,5819.13
7-8,1128.92
7-9,480.11
8-9,447.28
