edge,weight
0-1,862.11
0-2,5018.63
0-3,91.66
0-4,1107.86
0-5,5868.65
0-6,820.25
0-7,87.99
0-8,1765.62
0-9,1723.63
0-10,119.62
0-11,508.3
0-12,808.79
0-13,2234.14
0-14,522.08
1-2,2289.29
1-3,854.13
1-4,527.61
1-5,1682.51
1-6,101.19
1-7,463.12
1-8,5124.31
1-9,1685.45
1-10,2143.81
1-11,2030.3
1-12,574.52
1-13,4077.63
1-14,2250.78
2-3,1765.66
2-4,1182.18
2-5,5636.24
2-6,474.91
2-7,84.52
2-8,431.44
2-9,498.97
2-10,111.55
2-11,957.84
2-12,5219.49
2-13,107.1
2-14,1733.28
3-4,1869.21
3-5,471.78
3-6,4160.59
3-7,2001.19
3-8,2095.59
3-9,570.88
3-10,563.89
3-11,1896.22
3-12,110.17
3-13,102.7
3-14,595.72
4-5,557.3
4-6,98.8
4-7,2255.33
4-8,915.72
4-9,81.28
4-10,2107.17
4-11,91.38
4-12,5385.71
4-13,836.95
4-14,110.33
5-6,4621.78
5-7,1005.2
5-8,446.59
5-9,564.9
5-10,92.43
5-11,810.11
5-12,4374.95
5-13,82.69
5-14,486.81
6-7,917.95
6-8,5567.24
6-9,2134.47
6-10,478.65
6-11,1962.39
6-12,889.27
6-13,4431.87
6-14,1083.05
7-8,4884.19
7-9,114.08
7-10,830.3
7-11,509.9
7-12,506.17
7-13,4251.74
7-14,529.23
8-9,1980.26
8-10,103.94
8-11,108.13
8-12,92.26
8-13,118.01
8-14,4518.66
9-10,5012.07
9-11,5234.83
9-12,1118.25
9-13,897.17
9-14,2370.41
10-11,445.22
10-12,1795.69
10-13,997.56
10-14,1065.79
11-12,536.76
11-13,488.89
11-14,407.98
12-13,592.83
12-14,87.9
13-14,1040.84
