node_id,city,country,latitude,longitude,region,timezone
0,Rochester,USA,43.973881,-92.461918,north_america,America/Chicago
1,Baltimore,USA,39.27005,-76.597642,europe,America/New_York
2,Palo Alto,USA,37.468019,-122.099089,asia_pacific,America/Los_Angeles
3,Boston,USA,42.388994,-71.018348,south_america,America/New_York
4,Los Angeles,USA,34.086555,-118.215039,africa,America/Los_Angeles
5,London,UK,51.523297,-0.08618,north_america,Europe/London
6,Paris,France,48.887808,2.392092,europe,Europe/Paris
7,Tokyo,Japan,35.724393,139.666246,asia_pacific,Asia/Tokyo
8,Singapore,Singapore,1.354299,103.780642,south_america,Asia/Singapore
9,Sydney,Australia,-33.902923,151.173868,africa,Australia/Sydney
10,Rochester,USA,44.026551,-92.467161,north_america,America/Chicago
11,Baltimore,USA,39.335455,-76.577979,europe,America/New_York
12,Palo Alto,USA,37.489991,-122.100633,asia_pacific,America/Los_Angeles
13,Boston,USA,42.364598,-71.097018,south_america,America/New_York
14,Los Angeles,USA,34.026406,-118.235422,africa,America/Los_Angeles
