node_id,node_identifier,bandwidth_mbps,compute_capability,cpu_cores,data_compliance,gpu_count,memory_gb,node_type,reliability_score,security_level,storage_gb
0,hospital_000,5000,tier_1,32,HIPAA,8,128,tier1_hospital,0.977,standard,50000
1,clinic_001,5000,tier_2,16,HIPAA,2,256,tier2_hospital,0.906,high,5000
2,research_center_002,5000,tier_3,64,HIPAA,16,256,research_center,0.996,critical,50000
3,mobile_unit_003,100,tier_1,8,HIPAA,1,16,mobile_unit,0.779,standard,2000
4,edge_device_004,500,tier_2,2,PIPEDA,1,32,edge_device,0.74,high,500
5,hospital_005,5000,tier_1,32,PIPEDA,16,256,tier1_hospital,0.97,standard,10000
6,clinic_006,5000,tier_2,32,local,4,64,tier2_hospital,0.979,standard,10000
7,research_center_007,10000,tier_3,256,HIPAA,32,256,research_center,0.987,critical,100000
8,mobile_unit_008,100,tier_1,4,HIPAA,1,16,mobile_unit,0.856,high,2000
9,edge_device_009,100,tier_2,8,HIPAA,0,32,edge_device,0.871,standard,1000
10,hospital_010,2000,tier_1,128,GDPR,16,256,tier1_hospital,0.985,high,10000
11,clinic_011,1000,tier_2,16,PIPEDA,4,64,tier2_hospital,0.98,high,20000
12,research_center_012,10000,tier_3,256,local,16,512,research_center,0.992,critical,100000
13,mobile_unit_013,1000,tier_1,4,HIPAA,1,32,mobile_unit,0.832,high,2000
14,edge_device_014,50,tier_2,2,GDPR,1,16,edge_device,0.81,standard,1000
15,hospital_015,2000,tier_1,128,PIPEDA,16,256,tier1_hospital,0.981,high,10000
16,clinic_016,2000,tier_2,32,PIPEDA,8,256,tier2_hospital,0.915,standard,5000
17,research_center_017,5000,tier_3,128,GDPR,32,512,research_center,1.0,standard,50000
18,mobile_unit_018,100,tier_1,16,HIPAA,1,16,mobile_unit,0.856,high,2000
19,edge_device_019,50,tier_2,8,GDPR,0,16,edge_device,0.725,high,1000
