node_id,node_identifier,bandwidth_mbps,compute_capability,cpu_cores,data_compliance,gpu_count,memory_gb,node_type,reliability_score,security_level,storage_gb
0,hospital_000,5000,tier_1,64,GDPR,8,256,tier1_hospital,0.971,high,20000
1,clinic_001,2000,tier_2,16,PIPEDA,2,256,tier2_hospital,0.962,critical,20000
2,research_center_002,5000,tier_3,256,local,16,1024,research_center,0.997,critical,100000
3,mobile_unit_003,100,tier_1,16,GDPR,2,64,mobile_unit,0.821,high,2000
4,edge_device_004,500,tier_2,8,PIPEDA,0,16,edge_device,0.752,standard,2000
5,hospital_005,5000,tier_1,64,PIPEDA,16,128,tier1_hospital,0.954,critical,10000
6,clinic_006,2000,tier_2,32,HIPAA,8,256,tier2_hospital,0.962,high,20000
7,research_center_007,10000,tier_3,256,local,8,256,research_center,0.991,standard,100000
8,mobile_unit_008,100,tier_1,16,GDPR,1,16,mobile_unit,0.865,high,1000
9,edge_device_009,50,tier_2,2,HIPAA,0,32,edge_device,0.764,standard,1000
10,hospital_010,5000,tier_1,128,GDPR,16,256,tier1_hospital,0.996,critical,20000
11,clinic_011,2000,tier_2,32,GDPR,2,128,tier2_hospital,0.978,high,10000
12,research_center_012,10000,tier_3,128,PIPEDA,8,512,research_center,0.986,critical,100000
13,mobile_unit_013,500,tier_1,4,local,2,32,mobile_unit,0.807,critical,1000
14,edge_device_014,100,tier_2,4,local,1,16,edge_device,0.742,standard,500
15,hospital_015,5000,tier_1,32,local,8,128,tier1_hospital,0.975,standard,50000
16,clinic_016,5000,tier_2,64,HIPAA,8,256,tier2_hospital,0.944,standard,10000
17,research_center_017,10000,tier_3,64,HIPAA,8,512,research_center,0.985,standard,50000
18,mobile_unit_018,500,tier_1,4,PIPEDA,1,16,mobile_unit,0.839,standard,1000
19,edge_device_019,100,tier_2,4,HIPAA,1,32,edge_device,0.845,high,1000
