node_id,latitude,longitude
0,43.983081,-92.517129
1,39.270586,-76.59873
2,37.422978,-122.122725
3,42.351287,-71.073134
4,34.096635,-118.194925
5,51.528805,-0.139507
6,48.872656,2.331102
7,35.673526,139.694691
8,1.326564,103.781886
9,-33.823989,151.211833
10,44.05554,-92.46179
11,39.313284,-76.643922
12,37.487931,-122.11226
13,42.382296,-71.108701
14,34.052152,-118.204485
15,51.475855,-0.110101
16,48.846444,2.325016
17,35.671546,139.610225
18,1.302624,103.864906
19,-33.873274,151.226275
