node_id,latitude,longitude
0,44.013878,-92.513618
1,39.30314,-76.599128
2,37.412069,-122.134532
3,42.389621,-71.102669
4,34.075532,-118.206328
5,51.542184,-0.146222
6,48.885325,2.382464
7,35.676316,139.697486
8,1.304793,103.856707
9,-33.893588,151.235431
10,43.998477,-92.461182
11,39.295883,-76.591138
12,37.47937,-122.098813
13,42.342416,-71.058142
14,34.018356,-118.19383
15,51.469015,-0.146381
16,48.829825,2.330906
17,35.707875,139.674235
18,1.312391,103.868416
19,-33.871487,151.171052
