edge,weight
0-1,4781.49
0-2,86.29
0-3,520.98
0-4,953.74
0-5,496.94
0-6,90.66
0-7,2084.1
0-8,540.72
0-9,105.06
1-2,565.41
1-3,86.05
1-4,916.1
1-5,1876.87
1-6,99.94
1-7,4351.6
1-8,2188.21
1-9,589.86
2-3,519.03
2-4,561.54
2-5,89.63
2-6,105.17
2-7,481.38
2-8,5905.33
2-9,86.65
3-4,105.83
3-5,2090.58
3-6,547.38
3-7,2164.2
3-8,1165.49
3-9,99.8
4-5,117.62
4-6,1009.49
4-7,442.53
4-8,1111.28
4-9,118.18
5-6,97.95
5-7,1036.41
5-8,848.64
5-9,100.12
6-7,1084.81
6-8,551.15
6-9,488.49
7-8,408.3
7-9,500.22
8-9,959.29
