node_id,node_identifier,bandwidth_mbps,compute_capability,cpu_cores,data_compliance,gpu_count,memory_gb,node_type,reliability_score,security_level,storage_gb
0,hospital_000,2000,tier_1,32,PIPEDA,8,256,tier1_hospital,0.987,high,10000
1,clinic_001,5000,tier_2,64,PIPEDA,4,64,tier2_hospital,0.97,standard,5000
2,research_center_002,5000,tier_3,128,GDPR,8,1024,research_center,0.985,standard,20000
3,mobile_unit_003,100,tier_1,16,GDPR,1,64,mobile_unit,0.817,high,1000
4,edge_device_004,100,tier_2,4,HIPAA,0,16,edge_device,0.801,critical,2000
5,hospital_005,5000,tier_1,64,HIPAA,16,128,tier1_hospital,0.953,critical,50000
6,clinic_006,5000,tier_2,32,local,8,64,tier2_hospital,0.968,standard,5000
7,research_center_007,5000,tier_3,256,local,16,256,research_center,0.987,high,50000
8,mobile_unit_008,500,tier_1,16,PIPEDA,1,32,mobile_unit,0.88,high,5000
9,edge_device_009,500,tier_2,2,HIPAA,0,8,edge_device,0.745,high,500
10,hospital_010,10000,tier_1,128,PIPEDA,16,256,tier1_hospital,0.996,standard,50000
11,clinic_011,2000,tier_2,16,PIPEDA,2,64,tier2_hospital,0.958,high,10000
12,research_center_012,20000,tier_3,64,GDPR,32,512,research_center,0.997,standard,50000
13,mobile_unit_013,500,tier_1,8,GDPR,1,16,mobile_unit,0.855,critical,5000
14,edge_device_014,100,tier_2,4,GDPR,0,16,edge_device,0.845,standard,2000
15,hospital_015,5000,tier_1,32,local,16,512,tier1_hospital,0.996,high,50000
16,clinic_016,2000,tier_2,16,PIPEDA,2,128,tier2_hospital,0.926,standard,20000
17,research_center_017,5000,tier_3,256,HIPAA,16,512,research_center,0.995,critical,20000
18,mobile_unit_018,1000,tier_1,8,PIPEDA,2,64,mobile_unit,0.778,standard,5000
19,edge_device_019,500,tier_2,2,HIPAA,1,16,edge_device,0.848,critical,500
20,hospital_020,5000,tier_1,32,PIPEDA,8,256,tier1_hospital,0.986,critical,10000
21,clinic_021,2000,tier_2,32,local,4,128,tier2_hospital,0.975,high,10000
22,research_center_022,5000,tier_3,256,local,8,256,research_center,0.992,standard,100000
23,mobile_unit_023,100,tier_1,4,GDPR,1,16,mobile_unit,0.774,high,1000
24,edge_device_024,500,tier_2,4,local,1,32,edge_device,0.768,critical,500
25,hospital_025,2000,tier_1,64,GDPR,8,512,tier1_hospital,0.957,high,50000
26,clinic_026,2000,tier_2,16,HIPAA,4,256,tier2_hospital,0.921,high,20000
27,research_center_027,20000,tier_3,256,HIPAA,16,256,research_center,0.987,critical,100000
28,mobile_unit_028,1000,tier_1,8,GDPR,1,32,mobile_unit,0.806,standard,5000
29,edge_device_029,100,tier_2,2,local,0,8,edge_device,0.886,critical,1000
