node_id,node_identifier,bandwidth_mbps,compute_capability,cpu_cores,data_compliance,gpu_count,memory_gb,node_type,reliability_score,security_level,storage_gb
0,hospital_000,5000,tier_1,64,local,16,256,tier1_hospital,0.994,standard,20000
1,clinic_001,1000,tier_2,32,PIPEDA,2,128,tier2_hospital,0.932,high,10000
2,research_center_002,10000,tier_3,256,local,32,512,research_center,0.986,standard,50000
3,mobile_unit_003,100,tier_1,8,local,2,32,mobile_unit,0.807,high,5000
4,edge_device_004,500,tier_2,8,GDPR,0,16,edge_device,0.782,high,500
5,hospital_005,10000,tier_1,32,PIPEDA,16,128,tier1_hospital,0.952,standard,20000
6,clinic_006,1000,tier_2,16,local,8,256,tier2_hospital,0.929,high,5000
7,research_center_007,5000,tier_3,64,GDPR,32,256,research_center,0.98,standard,50000
8,mobile_unit_008,100,tier_1,8,GDPR,2,16,mobile_unit,0.815,standard,2000
9,edge_device_009,500,tier_2,4,GDPR,0,32,edge_device,0.705,high,2000
