node_id,node_identifier,bandwidth_mbps,compute_capability,cpu_cores,data_compliance,gpu_count,memory_gb,node_type,reliability_score,security_level,storage_gb
0,hospital_000,5000,tier_1,128,HIPAA,4,128,tier1_hospital,0.951,critical,20000
1,clinic_001,2000,tier_2,16,local,2,256,tier2_hospital,0.903,standard,10000
2,research_center_002,20000,tier_3,128,HIPAA,8,256,research_center,0.992,standard,100000
3,mobile_unit_003,500,tier_1,8,HIPAA,2,16,mobile_unit,0.895,standard,1000
4,edge_device_004,50,tier_2,8,HIPAA,0,32,edge_device,0.808,high,500
5,hospital_005,5000,tier_1,64,local,8,512,tier1_hospital,0.972,standard,50000
6,clinic_006,1000,tier_2,32,HIPAA,4,64,tier2_hospital,0.937,critical,10000
7,research_center_007,5000,tier_3,256,HIPAA,8,256,research_center,0.985,critical,100000
8,mobile_unit_008,1000,tier_1,4,PIPEDA,2,64,mobile_unit,0.897,standard,1000
9,edge_device_009,100,tier_2,4,local,1,8,edge_device,0.891,standard,1000
10,hospital_010,5000,tier_1,128,GDPR,16,512,tier1_hospital,0.967,standard,20000
11,clinic_011,5000,tier_2,16,GDPR,8,64,tier2_hospital,0.927,critical,10000
12,research_center_012,5000,tier_3,128,local,16,512,research_center,0.998,standard,20000
13,mobile_unit_013,100,tier_1,4,PIPEDA,1,16,mobile_unit,0.761,critical,1000
14,edge_device_014,50,tier_2,8,HIPAA,0,32,edge_device,0.704,standard,1000
