round_num,node_0,node_1,node_2,node_3,node_4,node_5,node_6,node_7,node_8,node_9
1,3.1688034534454346,3.216205596923828,3.1884355545043945,3.228951930999756,3.2430262565612793,3.228848457336426,3.251467704772949,3.2250587940216064,3.1884355545043945,3.2149176597595215
2,3.2052905559539795,3.204969644546509,3.221109390258789,3.2105329036712646,3.201596736907959,3.1795754432678223,3.190270185470581,3.1984939575195312,3.190270185470581,3.1971375942230225
3,3.1905362606048584,3.2242801189422607,3.2071049213409424,3.1905362606048584,3.2039592266082764,3.2212703227996826,3.208019733428955,3.1931493282318115,3.226482629776001,3.177926778793335
4,3.195744276046753,3.195744276046753,3.203253984451294,3.203394651412964,3.2492401599884033,3.2424066066741943,3.207779884338379,3.2105650901794434,3.1976044178009033,3.198390483856201
5,3.207096576690674,3.2254750728607178,3.224921703338623,3.239143133163452,3.2184245586395264,3.2032907009124756,3.221156120300293,3.2032907009124756,3.231654167175293,3.2244324684143066
6,3.2120254039764404,3.2036898136138916,3.222058057785034,3.192995548248291,3.2337939739227295,3.2156333923339844,3.247807741165161,3.2128732204437256,3.2128732204437256,3.2307324409484863
7,3.2064015865325928,3.2304112911224365,3.213783025741577,3.2087483406066895,3.2224879264831543,3.214177370071411,3.2312183380126953,3.2087483406066895,3.2346277236938477,3.223644733428955
8,3.2089996337890625,3.212325096130371,3.2191054821014404,3.212325096130371,3.209522008895874,3.246140480041504,3.225398540496826,3.2313649654388428,3.2394795417785645,3.2025160789489746
9,3.2006278038024902,3.2342309951782227,3.2260074615478516,3.2643802165985107,3.2153990268707275,3.2158079147338867,3.236473321914673,3.2195537090301514,3.1858372688293457,3.2158079147338867
10,3.1979215145111084,3.229130983352661,3.212327718734741,3.2252771854400635,3.229778528213501,3.241145372390747,3.2137327194213867,3.212327718734741,3.2071073055267334,3.206716537475586
