node_id,admin_level,certification,city,country,department,established_year,funding_source,institution_name,institution_type,region,staff_count,timezone
0,regional,HIPAA_compliant,Rochester,USA,radiology,1965,public,mayo_clinic,tier1_hospital,north_america,4645,America/Chicago
1,national,FedRAMP,Baltimore,USA,oncology,1950,mixed,johns_hopkins,tier2_hospital,europe,2121,America/New_York
2,regional,FedRAMP,Palo Alto,USA,cardiology,1985,mixed,stanford_med,research_center,asia_pacific,3316,America/Los_Angeles
3,regional,ISO27001,Boston,USA,neurology,2005,public,mass_general,mobile_unit,south_america,3595,America/New_York
4,national,HIPAA_compliant,Los Angeles,USA,pathology,1978,research_grant,ucla_health,edge_device,africa,1042,America/Los_Angeles
5,local,SOC2,London,UK,radiology,1963,mixed,mayo_clinic,tier1_hospital,north_america,1521,Europe/London
6,regional,SOC2,Paris,France,oncology,1987,private,johns_hopkins,tier2_hospital,europe,946,Europe/Paris
7,local,SOC2,Tokyo,Japan,cardiology,1954,public,stanford_med,research_center,asia_pacific,1251,Asia/Tokyo
8,international,HIPAA_compliant,Singapore,Singapore,neurology,2009,public,mass_general,mobile_unit,south_america,2981,Asia/Singapore
9,local,ISO27001,Sydney,Australia,pathology,1981,mixed,ucla_health,edge_device,africa,1705,Australia/Sydney
