node_id,node_identifier,bandwidth_mbps,compute_capability,cpu_cores,data_compliance,gpu_count,memory_gb,node_type,reliability_score,security_level,storage_gb
0,hospital_000,10000,tier_1,64,GDPR,4,512,tier1_hospital,0.981,high,50000
1,clinic_001,5000,tier_2,32,GDPR,2,256,tier2_hospital,0.977,high,10000
2,research_center_002,20000,tier_3,256,HIPAA,32,512,research_center,0.999,standard,20000
3,mobile_unit_003,100,tier_1,16,HIPAA,1,64,mobile_unit,0.751,standard,5000
4,edge_device_004,500,tier_2,8,GDPR,1,16,edge_device,0.819,high,1000
5,hospital_005,10000,tier_1,128,HIPAA,16,128,tier1_hospital,0.974,critical,10000
6,clinic_006,2000,tier_2,32,HIPAA,4,256,tier2_hospital,0.95,high,10000
7,research_center_007,20000,tier_3,128,HIPAA,16,1024,research_center,0.989,high,20000
8,mobile_unit_008,100,tier_1,16,local,2,64,mobile_unit,0.834,standard,2000
9,edge_device_009,500,tier_2,2,local,1,8,edge_device,0.855,standard,500
