round_num,node_0,node_1,node_2,node_3,node_4,node_5,node_6,node_7,node_8,node_9
1,3.303961992263794,3.289567470550537,3.289567470550537,3.289567470550537,3.289567470550537,3.289567470550537,3.2916390895843506,3.289567470550537,3.289567470550537,3.289567470550537
2,3.289797067642212,3.2889716625213623,3.2889177799224854,3.288900375366211,3.288831949234009,3.288778305053711,3.290428400039673,3.300781488418579,3.2890782356262207,3.289015054702759
3,3.2893567085266113,3.2893218994140625,3.2893710136413574,3.3259482383728027,3.2894699573516846,3.2895467281341553,3.289660692214966,3.2897872924804688,3.2937982082366943,3.2894287109375
4,3.29197359085083,3.292325973510742,3.2927894592285156,3.2923803329467773,3.289571523666382,3.289696455001831,3.2898902893066406,3.290085554122925,3.2902259826660156,3.2862470149993896
5,3.2905752658843994,3.2899749279022217,3.2897279262542725,3.289628505706787,3.289546012878418,3.2895522117614746,3.289541482925415,3.290769338607788,3.2894809246063232,3.289372205734253
6,3.2894790172576904,3.289572238922119,3.297412872314453,3.289522886276245,3.2895126342773438,3.28951096534729,3.298938035964966,3.289506673812866,3.2895007133483887,3.28950572013855
7,3.2904305458068848,3.2905325889587402,3.296309471130371,3.2905097007751465,3.2906527519226074,3.290775775909424,3.2909440994262695,3.290309429168701,3.2877237796783447,3.290513277053833
8,3.287519693374634,3.2896454334259033,3.289562702178955,3.289358377456665,3.3018300533294678,3.2891111373901367,3.2889444828033447,3.2887868881225586,3.2887253761291504,3.2892277240753174
9,3.289426565170288,3.2897958755493164,3.2898294925689697,3.289843797683716,3.282576084136963,3.2893004417419434,3.2917940616607666,3.2893717288970947,3.28941011428833,3.289541244506836
10,3.2886195182800293,3.288543701171875,3.2884066104888916,3.2833638191223145,3.2881667613983154,3.2889466285705566,3.289813756942749,3.288799285888672,3.288767099380493,3.288663864135742
