edge,weight
0-1,109.28
0-2,838.06
0-3,1873.15
0-4,465.08
0-5,89.83
0-6,94.68
0-7,103.6
0-8,95.38
0-9,1953.34
1-2,1930.31
1-3,2287.63
1-4,4643.97
1-5,89.06
1-6,1140.9
1-7,4388.5
1-8,459.84
1-9,5357.32
2-3,939.37
2-4,1823.29
2-5,1808.97
2-6,99.33
2-7,532.41
2-8,4762.27
2-9,569.57
3-4,112.51
3-5,111.5
3-6,1192.58
3-7,1104.94
3-8,82.46
3-9,1918.68
4-5,485.27
4-6,557.01
4-7,5462.49
4-8,83.56
4-9,95.4
5-6,494.25
5-7,4041.73
5-8,4109.07
5-9,948.55
6-7,1698.4
6-8,2161.51
6-9,1040.0
7-8,1632.57
7-9,4892.38
8-9,576.56
