edge,weight
0-1,5943.73
0-2,112.21
0-3,5741.16
0-4,117.11
0-5,4462.41
0-6,4420.94
0-7,99.0
0-8,82.34
0-9,549.47
0-10,465.15
0-11,4725.79
0-12,431.99
0-13,581.03
0-14,2090.01
1-2,900.88
1-3,1632.81
1-4,404.36
1-5,92.31
1-6,1170.03
1-7,554.97
1-8,1165.54
1-9,1914.24
1-10,106.16
1-11,815.64
1-12,119.79
1-13,565.52
1-14,425.0
2-3,518.3
2-4,821.01
2-5,948.2
2-6,106.71
2-7,588.02
2-8,104.67
2-9,5282.48
2-10,81.65
2-11,957.34
2-12,567.99
2-13,89.86
2-14,451.04
3-4,2166.65
3-5,5486.99
3-6,545.4
3-7,439.34
3-8,4736.09
3-9,459.95
3-10,1194.29
3-11,108.41
3-12,935.63
3-13,5304.55
3-14,4671.76
4-5,86.51
4-6,113.63
4-7,100.33
4-8,1068.56
4-9,568.08
4-10,1059.94
4-11,467.2
4-12,4753.43
4-13,1149.55
4-14,5592.62
5-6,935.95
5-7,5576.68
5-8,534.83
5-9,935.02
5-10,88.61
5-11,110.15
5-12,459.66
5-13,2243.17
5-14,2261.43
6-7,1982.54
6-8,1176.41
6-9,5808.11
6-10,1029.29
6-11,492.49
6-12,509.95
6-13,5720.4
6-14,5422.86
7-8,2051.75
7-9,564.71
7-10,4532.78
7-11,405.49
7-12,5190.76
7-13,4089.49
7-14,119.01
8-9,92.75
8-10,1197.97
8-11,495.19
8-12,2288.38
8-13,541.16
8-14,1062.99
9-10,842.56
9-11,404.6
9-12,1168.36
9-13,1148.71
9-14,5453.95
10-11,439.24
10-12,886.22
10-13,2238.06
10-14,2297.67
11-12,832.24
11-13,422.5
11-14,818.97
12-13,1689.2
12-14,1841.27
13-14,1667.77
