node_id,city,country,latitude,longitude,region,timezone
0,Rochester,USA,44.053686,-92.478763,north_america,America/Chicago
1,Baltimore,USA,39.25785,-76.652816,europe,America/New_York
2,Palo Alto,USA,37.395881,-122.171954,asia_pacific,America/Los_Angeles
3,Boston,USA,42.364072,-71.075751,south_america,America/New_York
4,Los Angeles,USA,34.019989,-118.213271,africa,America/Los_Angeles
5,London,UK,51.48049,-0.091062,north_america,Europe/London
6,Paris,France,48.8955,2.375743,europe,Europe/Paris
7,Tokyo,Japan,35.676879,139.655694,asia_pacific,Asia/Tokyo
8,Singapore,Singapore,1.346213,103.776329,south_america,Asia/Singapore
9,Sydney,Australia,-33.900677,151.201345,africa,Australia/Sydney
