node_id,node_identifier,bandwidth_mbps,compute_capability,cpu_cores,data_compliance,gpu_count,memory_gb,node_type,reliability_score,security_level,storage_gb
0,hospital_000,5000,tier_1,128,GDPR,4,256,tier1_hospital,0.975,critical,50000
1,clinic_001,2000,tier_2,64,PIPEDA,4,256,tier2_hospital,0.906,critical,10000
2,research_center_002,20000,tier_3,128,HIPAA,8,1024,research_center,0.983,critical,100000
3,mobile_unit_003,500,tier_1,4,PIPEDA,2,64,mobile_unit,0.814,standard,1000
4,edge_device_004,100,tier_2,8,HIPAA,1,8,edge_device,0.882,standard,1000
5,hospital_005,5000,tier_1,64,PIPEDA,4,512,tier1_hospital,0.968,critical,50000
6,clinic_006,1000,tier_2,32,local,2,256,tier2_hospital,0.979,high,5000
7,research_center_007,5000,tier_3,128,GDPR,32,512,research_center,0.998,high,100000
8,mobile_unit_008,100,tier_1,8,HIPAA,1,32,mobile_unit,0.814,standard,5000
9,edge_device_009,100,tier_2,4,local,0,8,edge_device,0.852,high,2000
