timestamp,round_num,node_id,computation_type,time_taken,samples_processed,batches_processed,epochs_completed,throughput_samples_per_sec
1753390659.955696,1,-1,training,29.10891079902649,0,0,0,
1753390686.1055675,2,-1,training,24.3894202709198,0,0,0,
1753390694.8377984,3,-1,training,7.180537462234497,0,0,0,
1753390703.7734113,4,-1,training,7.339605093002319,0,0,0,
1753390712.6766238,5,-1,training,7.276698112487793,0,0,0,
1753390721.675672,6,-1,training,7.361983299255371,0,0,0,
1753390730.5785127,7,-1,training,7.264761686325073,0,0,0,
1753390739.6825185,8,-1,training,7.463687896728516,0,0,0,
1753390748.5836678,9,-1,training,7.209485292434692,0,0,0,
1753390757.6318083,10,-1,training,7.381911754608154,0,0,0,
