round_num,node_0,node_1,node_2,node_3,node_4
1,3.3659632205963135,3.3606457710266113,3.3405890464782715,3.3082470893859863,3.342953681945801
2,3.3145480155944824,3.332179546356201,3.3150253295898438,3.292539119720459,3.305497407913208
3,3.304903745651245,3.306053638458252,3.28287410736084,3.309464454650879,3.3163230419158936
4,3.29561185836792,3.3123743534088135,3.3130393028259277,3.308471918106079,3.3076467514038086
5,3.3036017417907715,3.31597638130188,3.2955660820007324,3.315756320953369,3.3233590126037598
6,3.3235700130462646,3.309278726577759,3.309136390686035,3.3229260444641113,3.3327794075012207
7,3.323781728744507,3.3156607151031494,3.3291780948638916,3.332750082015991,3.3216168880462646
8,3.328962802886963,3.3230531215667725,3.3278968334198,3.332853078842163,3.3265390396118164
9,3.3126230239868164,3.332711696624756,3.3222758769989014,3.3556058406829834,3.3232736587524414
10,3.320720672607422,3.327613353729248,3.3356871604919434,3.331632137298584,3.3292551040649414
