edge,weight
0-1,4533.75
0-2,408.14
0-3,2340.6
0-4,98.76
0-5,471.96
0-6,4680.81
0-7,2049.43
0-8,848.66
0-9,521.15
0-10,589.22
0-11,1003.46
0-12,2024.48
0-13,514.53
0-14,523.79
1-2,4124.32
1-3,1683.6
1-4,452.49
1-5,1146.6
1-6,429.7
1-7,540.21
1-8,5465.95
1-9,93.11
1-10,2111.03
1-11,118.49
1-12,112.28
1-13,97.46
1-14,5417.6
2-3,4428.28
2-4,843.23
2-5,1024.8
2-6,596.27
2-7,1932.0
2-8,82.66
2-9,4855.21
2-10,87.63
2-11,533.08
2-12,110.76
2-13,5046.01
2-14,2322.34
3-4,504.79
3-5,92.31
3-6,531.03
3-7,116.58
3-8,80.83
3-9,420.22
3-10,94.53
3-11,428.92
3-12,1039.64
3-13,95.86
3-14,87.64
4-5,2206.36
4-6,5378.66
4-7,90.4
4-8,5111.34
4-9,81.45
4-10,5669.06
4-11,4518.98
4-12,4751.87
4-13,1860.08
4-14,457.53
5-6,107.26
5-7,586.85
5-8,2272.44
5-9,81.39
5-10,4899.52
5-11,1064.37
5-12,80.58
5-13,95.18
5-14,1625.82
6-7,1962.27
6-8,111.1
6-9,5744.3
6-10,2315.72
6-11,1980.98
6-12,937.53
6-13,91.96
6-14,886.53
7-8,1078.18
7-9,96.65
7-10,1863.14
7-11,5522.19
7-12,91.78
7-13,2150.57
7-14,94.47
8-9,499.25
8-10,2373.5
8-11,551.06
8-12,103.3
8-13,2206.51
8-14,586.02
9-10,113.12
9-11,897.79
9-12,2200.73
9-13,1868.36
9-14,972.46
10-11,5319.49
10-12,1132.66
10-13,5053.24
10-14,108.06
11-12,526.2
11-13,119.75
11-14,923.38
12-13,1119.25
12-14,4809.45
13-14,1175.65
