edge,weight
0-1,561.08
0-2,2040.84
0-3,497.27
0-4,5355.97
0-5,95.89
0-6,468.11
0-7,416.98
0-8,814.38
0-9,2239.62
1-2,5935.04
1-3,84.83
1-4,102.59
1-5,488.3
1-6,5670.96
1-7,2110.78
1-8,95.43
1-9,104.41
2-3,585.9
2-4,1775.36
2-5,919.33
2-6,1084.19
2-7,4426.16
2-8,4764.33
2-9,2035.42
3-4,2037.55
3-5,4657.46
3-6,814.13
3-7,82.99
3-8,5642.32
3-9,1609.1
4-5,474.6
4-6,5681.35
4-7,1847.46
4-8,976.27
4-9,2277.27
5-6,927.45
5-7,1073.02
5-8,4005.34
5-9,83.54
6-7,4702.75
6-8,1921.45
6-9,521.87
7-8,101.25
7-9,1994.18
8-9,86.91
