node_id,node_identifier,bandwidth_mbps,compute_capability,cpu_cores,data_compliance,gpu_count,memory_gb,node_type,reliability_score,security_level,storage_gb
0,hospital_000,5000,tier_1,128,PIPEDA,16,256,tier1_hospital,0.971,high,50000
1,clinic_001,5000,tier_2,16,PIPEDA,4,64,tier2_hospital,0.96,standard,20000
2,research_center_002,5000,tier_3,128,GDPR,8,256,research_center,0.99,critical,50000
3,mobile_unit_003,500,tier_1,4,HIPAA,2,32,mobile_unit,0.865,standard,2000
4,edge_device_004,500,tier_2,8,HIPAA,0,32,edge_device,0.706,high,2000
5,hospital_005,10000,tier_1,128,HIPAA,4,256,tier1_hospital,0.954,high,50000
6,clinic_006,5000,tier_2,64,GDPR,4,64,tier2_hospital,0.968,high,20000
7,research_center_007,20000,tier_3,256,local,8,1024,research_center,0.985,standard,20000
8,mobile_unit_008,500,tier_1,8,HIPAA,2,64,mobile_unit,0.883,high,2000
9,edge_device_009,500,tier_2,4,local,0,8,edge_device,0.746,high,500
10,hospital_010,2000,tier_1,128,GDPR,4,128,tier1_hospital,0.972,high,20000
11,clinic_011,2000,tier_2,64,PIPEDA,8,64,tier2_hospital,0.956,critical,5000
12,research_center_012,5000,tier_3,128,HIPAA,8,512,research_center,0.989,standard,50000
13,mobile_unit_013,500,tier_1,16,PIPEDA,1,16,mobile_unit,0.792,high,5000
14,edge_device_014,50,tier_2,2,GDPR,0,8,edge_device,0.861,critical,1000
15,hospital_015,10000,tier_1,32,local,8,256,tier1_hospital,0.999,critical,50000
16,clinic_016,5000,tier_2,16,PIPEDA,8,256,tier2_hospital,0.948,standard,5000
17,research_center_017,20000,tier_3,256,local,32,1024,research_center,0.994,high,100000
18,mobile_unit_018,1000,tier_1,8,GDPR,2,16,mobile_unit,0.857,critical,2000
19,edge_device_019,500,tier_2,2,GDPR,1,16,edge_device,0.736,critical,2000
