timestamp,round_num,node_id,computation_type,time_taken,samples_processed,batches_processed,epochs_completed,throughput_samples_per_sec
1753350854.2121558,1,-1,training,22.465696334838867,0,0,0,
1753350873.079302,2,-1,training,17.699280500411987,0,0,0,
1753350893.2549472,3,-1,training,18.990357398986816,0,0,0,
1753350918.4161277,4,-1,training,24.022870540618896,0,0,0,
1753350924.4420345,5,-1,training,4.816232919692993,0,0,0,
1753350930.3368409,6,-1,training,4.689105272293091,0,0,0,
1753350936.4732752,7,-1,training,4.908308267593384,0,0,0,
1753350942.2725253,8,-1,training,4.524670124053955,0,0,0,
1753350963.3868513,9,-1,training,19.882240295410156,0,0,0,
1753350969.3513346,10,-1,training,4.686601161956787,0,0,0,
