node_id,node_identifier,bandwidth_mbps,compute_capability,cpu_cores,data_compliance,gpu_count,memory_gb,node_type,reliability_score,security_level,storage_gb
0,hospital_000,5000,tier_1,64,PIPEDA,16,512,tier1_hospital,0.954,standard,20000
1,clinic_001,1000,tier_2,16,local,8,128,tier2_hospital,0.939,critical,10000
2,research_center_002,10000,tier_3,256,local,16,256,research_center,0.987,high,50000
3,mobile_unit_003,1000,tier_1,16,local,1,32,mobile_unit,0.821,standard,5000
4,edge_device_004,500,tier_2,8,GDPR,1,16,edge_device,0.73,standard,2000
5,hospital_005,2000,tier_1,64,GDPR,4,512,tier1_hospital,0.979,standard,10000
6,clinic_006,5000,tier_2,32,GDPR,8,128,tier2_hospital,0.946,critical,10000
7,research_center_007,10000,tier_3,128,local,16,1024,research_center,0.986,high,20000
8,mobile_unit_008,1000,tier_1,8,PIPEDA,2,16,mobile_unit,0.775,high,1000
9,edge_device_009,50,tier_2,4,HIPAA,0,16,edge_device,0.847,critical,2000
10,hospital_010,5000,tier_1,32,local,4,128,tier1_hospital,0.975,high,20000
11,clinic_011,2000,tier_2,32,local,8,256,tier2_hospital,0.946,high,10000
12,research_center_012,5000,tier_3,128,local,32,512,research_center,0.991,critical,50000
13,mobile_unit_013,1000,tier_1,16,local,1,16,mobile_unit,0.8,critical,5000
14,edge_device_014,50,tier_2,2,HIPAA,1,16,edge_device,0.737,high,500
15,hospital_015,2000,tier_1,32,GDPR,8,256,tier1_hospital,0.983,high,10000
16,clinic_016,2000,tier_2,64,local,4,256,tier2_hospital,0.949,critical,10000
17,research_center_017,5000,tier_3,256,GDPR,8,512,research_center,0.989,standard,100000
18,mobile_unit_018,500,tier_1,8,GDPR,2,16,mobile_unit,0.852,high,1000
19,edge_device_019,100,tier_2,8,HIPAA,0,32,edge_device,0.861,critical,1000
