node_id,node_identifier,bandwidth_mbps,compute_capability,cpu_cores,data_compliance,gpu_count,memory_gb,node_type,reliability_score,security_level,storage_gb
0,hospital_000,2000,tier_1,32,local,16,512,tier1_hospital,0.97,critical,20000
1,clinic_001,5000,tier_2,32,local,4,256,tier2_hospital,0.954,critical,5000
2,research_center_002,20000,tier_3,256,local,8,512,research_center,0.992,high,100000
3,mobile_unit_003,500,tier_1,4,HIPAA,2,64,mobile_unit,0.843,critical,5000
4,edge_device_004,100,tier_2,8,PIPEDA,0,16,edge_device,0.872,standard,500
5,hospital_005,5000,tier_1,32,HIPAA,4,512,tier1_hospital,0.983,high,10000
6,clinic_006,1000,tier_2,32,HIPAA,8,64,tier2_hospital,0.918,standard,20000
7,research_center_007,5000,tier_3,64,HIPAA,16,256,research_center,0.996,standard,50000
8,mobile_unit_008,100,tier_1,16,local,2,16,mobile_unit,0.842,critical,2000
9,edge_device_009,50,tier_2,4,local,1,8,edge_device,0.898,high,500
10,hospital_010,5000,tier_1,128,PIPEDA,16,512,tier1_hospital,0.992,critical,10000
11,clinic_011,5000,tier_2,32,HIPAA,8,64,tier2_hospital,0.955,critical,5000
12,research_center_012,10000,tier_3,64,GDPR,8,256,research_center,0.991,standard,100000
13,mobile_unit_013,1000,tier_1,16,GDPR,2,64,mobile_unit,0.759,standard,1000
14,edge_device_014,500,tier_2,4,GDPR,1,16,edge_device,0.805,high,500
