node_id,node_identifier,bandwidth_mbps,compute_capability,cpu_cores,data_compliance,gpu_count,memory_gb,node_type,reliability_score,security_level,storage_gb
0,hospital_000,10000,tier_1,64,GDPR,8,512,tier1_hospital,0.953,standard,20000
1,clinic_001,2000,tier_2,16,HIPAA,2,128,tier2_hospital,0.953,high,10000
2,research_center_002,5000,tier_3,256,GDPR,32,256,research_center,0.992,critical,20000
3,mobile_unit_003,500,tier_1,4,PIPEDA,1,32,mobile_unit,0.777,high,1000
4,edge_device_004,100,tier_2,2,local,0,32,edge_device,0.734,high,2000
5,hospital_005,10000,tier_1,128,local,4,128,tier1_hospital,0.958,high,50000
6,clinic_006,5000,tier_2,64,GDPR,4,256,tier2_hospital,0.951,critical,5000
7,research_center_007,10000,tier_3,128,GDPR,8,256,research_center,0.997,standard,20000
8,mobile_unit_008,100,tier_1,16,GDPR,2,16,mobile_unit,0.853,critical,2000
9,edge_device_009,50,tier_2,2,local,1,16,edge_device,0.842,standard,1000
