param_summary,round_num,source_node,target_node,timestamp,transfer_type
"{'norm': 3.241772413253784, 'mean': -0.008686735294759274, 'std': 0.1908256560564041}",1,0,1,1749438597.8381586,parameter_transfer
"{'norm': 3.241772413253784, 'mean': -0.008686735294759274, 'std': 0.1908256560564041}",1,0,2,1749438597.8381586,parameter_transfer
"{'norm': 3.241772413253784, 'mean': -0.008686735294759274, 'std': 0.1908256560564041}",1,0,3,1749438597.8381586,parameter_transfer
"{'norm': 3.241772413253784, 'mean': -0.008686735294759274, 'std': 0.1908256560564041}",1,0,4,1749438597.8381586,parameter_transfer
"{'norm': 3.241772413253784, 'mean': -0.008686735294759274, 'std': 0.1908256560564041}",1,0,5,1749438597.8381586,parameter_transfer
"{'norm': 3.241772413253784, 'mean': -0.008686735294759274, 'std': 0.1908256560564041}",1,0,6,1749438597.8381586,parameter_transfer
"{'norm': 3.241772413253784, 'mean': -0.008686735294759274, 'std': 0.1908256560564041}",1,0,7,1749438597.8381586,parameter_transfer
"{'norm': 3.241772413253784, 'mean': -0.008686735294759274, 'std': 0.1908256560564041}",1,0,8,1749438597.8381586,parameter_transfer
"{'norm': 3.241772413253784, 'mean': -0.008686735294759274, 'std': 0.1908256560564041}",1,0,9,1749438597.8381586,parameter_transfer
"{'norm': 3.241772413253784, 'mean': -0.008686735294759274, 'std': 0.1908256560564041}",1,1,0,1749438597.8382297,parameter_transfer
"{'norm': 3.241772413253784, 'mean': -0.008686735294759274, 'std': 0.1908256560564041}",1,1,2,1749438597.8382297,parameter_transfer
"{'norm': 3.241772413253784, 'mean': -0.008686735294759274, 'std': 0.1908256560564041}",1,1,3,1749438597.8382297,parameter_transfer
"{'norm': 3.241772413253784, 'mean': -0.008686735294759274, 'std': 0.1908256560564041}",1,1,4,1749438597.8382297,parameter_transfer
"{'norm': 3.241772413253784, 'mean': -0.008686735294759274, 'std': 0.1908256560564041}",1,1,5,1749438597.8382297,parameter_transfer
"{'norm': 3.241772413253784, 'mean': -0.008686735294759274, 'std': 0.1908256560564041}",1,1,6,1749438597.8382297,parameter_transfer
"{'norm': 3.241772413253784, 'mean': -0.008686735294759274, 'std': 0.1908256560564041}",1,1,7,1749438597.8382297,parameter_transfer
"{'norm': 3.241772413253784, 'mean': -0.008686735294759274, 'std': 0.1908256560564041}",1,1,8,1749438597.8382297,parameter_transfer
"{'norm': 3.241772413253784, 'mean': -0.008686735294759274, 'std': 0.1908256560564041}",1,1,9,1749438597.8382297,parameter_transfer
"{'norm': 3.241772413253784, 'mean': -0.008686735294759274, 'std': 0.1908256560564041}",1,2,0,1749438597.8382657,parameter_transfer
"{'norm': 3.241772413253784, 'mean': -0.008686735294759274, 'std': 0.1908256560564041}",1,2,1,1749438597.8382657,parameter_transfer
