edge,weight
0-1,4821.27
0-2,5202.76
0-3,579.43
0-4,961.58
0-5,2372.73
0-6,1789.27
0-7,87.0
0-8,110.76
0-9,110.04
1-2,1923.26
1-3,4212.58
1-4,5850.56
1-5,1698.38
1-6,596.24
1-7,481.16
1-8,562.9
1-9,1627.34
2-3,83.0
2-4,114.61
2-5,4710.6
2-6,1695.62
2-7,923.38
2-8,82.32
2-9,5930.55
3-4,407.24
3-5,1145.34
3-6,840.89
3-7,402.15
3-8,4065.22
3-9,91.3
4-5,1865.78
4-6,83.23
4-7,2320.53
4-8,5268.79
4-9,490.72
5-6,585.81
5-7,2071.39
5-8,5130.39
5-9,98.08
6-7,117.29
6-8,2063.72
6-9,89.83
7-8,571.24
7-9,2147.3
8-9,84.51
