edge,weight
0-1,565.63
0-2,82.69
0-3,405.45
0-4,1752.76
0-5,1153.07
0-6,83.89
0-7,2245.8
0-8,83.13
0-9,89.77
1-2,556.04
1-3,2058.36
1-4,4722.14
1-5,88.24
1-6,1818.49
1-7,103.26
1-8,595.95
1-9,5559.47
2-3,5373.42
2-4,4772.75
2-5,586.95
2-6,96.53
2-7,491.73
2-8,1168.38
2-9,471.8
3-4,1813.58
3-5,2202.41
3-6,5487.94
3-7,821.05
3-8,96.49
3-9,2119.51
4-5,2093.12
4-6,4259.4
4-7,445.21
4-8,922.2
4-9,4166.54
5-6,1037.35
5-7,2036.43
5-8,2356.02
5-9,118.8
6-7,116.43
6-8,87.97
6-9,1013.56
7-8,583.75
7-9,4876.28
8-9,5717.59
