node_id,admin_level,certification,department,established_year,funding_source,institution_name,institution_type,staff_count
0,international,SOC2,radiology,2018,private,mayo_clinic,tier1_hospital,4929
1,national,HIPAA_compliant,oncology,2016,private,johns_hopkins,tier2_hospital,1411
2,regional,FedRAMP,cardiology,1977,public,stanford_med,research_center,4967
3,international,ISO27001,neurology,1986,private,mass_general,mobile_unit,4209
4,national,FedRAMP,pathology,1963,research_grant,ucla_health,edge_device,2503
5,local,FedRAMP,radiology,2009,private,mayo_clinic,tier1_hospital,3377
6,national,HIPAA_compliant,oncology,2015,research_grant,johns_hopkins,tier2_hospital,3714
7,regional,FedRAMP,cardiology,1959,private,stanford_med,research_center,3460
8,national,FedRAMP,neurology,1966,research_grant,mass_general,mobile_unit,1528
9,local,SOC2,pathology,2005,public,ucla_health,edge_device,3315
