node_id,city,country,latitude,longitude,region,timezone
0,Rochester,USA,44.041166,-92.471346,north_america,America/Chicago
1,Baltimore,USA,39.255157,-76.64664,europe,America/New_York
2,Palo Alto,USA,37.438955,-122.127921,asia_pacific,America/Los_Angeles
3,Boston,USA,42.352478,-71.072608,south_america,America/New_York
4,Los Angeles,USA,34.059639,-118.269375,africa,America/Los_Angeles
5,London,UK,51.473076,-0.169895,north_america,Europe/London
6,Paris,France,48.90129,2.371433,europe,Europe/Paris
7,Tokyo,Japan,35.646774,139.614644,asia_pacific,Asia/Tokyo
8,Singapore,Singapore,1.32506,103.83727,south_america,Asia/Singapore
9,Sydney,Australia,-33.891821,151.256583,africa,Australia/Sydney
10,Rochester,USA,44.033949,-92.445768,north_america,America/Chicago
11,Baltimore,USA,39.319969,-76.63431,europe,America/New_York
12,Palo Alto,USA,37.395568,-122.177262,asia_pacific,America/Los_Angeles
13,Boston,USA,42.404447,-71.076351,south_america,America/New_York
14,Los Angeles,USA,34.085071,-118.270454,africa,America/Los_Angeles
15,London,UK,51.544483,-0.101052,north_america,Europe/London
16,Paris,France,48.817347,2.343686,europe,Europe/Paris
17,Tokyo,Japan,35.627691,139.617358,asia_pacific,Asia/Tokyo
18,Singapore,Singapore,1.329847,103.838159,south_america,Asia/Singapore
19,Sydney,Australia,-33.894158,151.198792,africa,Australia/Sydney
20,Rochester,USA,43.995621,-92.430437,north_america,America/Chicago
21,Baltimore,USA,39.2587,-76.6109,europe,America/New_York
22,Palo Alto,USA,37.460843,-122.176049,asia_pacific,America/Los_Angeles
23,Boston,USA,42.38397,-71.011914,south_america,America/New_York
24,Los Angeles,USA,34.051736,-118.206624,africa,America/Los_Angeles
25,London,UK,51.462478,-0.112638,north_america,Europe/London
26,Paris,France,48.834444,2.326441,europe,Europe/Paris
27,Tokyo,Japan,35.664106,139.666407,asia_pacific,Asia/Tokyo
28,Singapore,Singapore,1.330927,103.795176,south_america,Asia/Singapore
29,Sydney,Australia,-33.909262,151.220503,africa,Australia/Sydney
