edge,weight
0-1,1055.43
0-2,462.37
0-3,944.65
0-4,2020.86
0-5,115.13
0-6,527.2
0-7,87.56
0-8,1104.63
0-9,436.23
0-10,1731.04
0-11,407.89
0-12,823.13
0-13,1031.1
0-14,102.91
1-2,1174.45
1-3,91.16
1-4,414.29
1-5,5268.04
1-6,1090.73
1-7,1069.03
1-8,553.35
1-9,1132.84
1-10,1035.53
1-11,97.11
1-12,2186.2
1-13,522.84
1-14,540.93
2-3,458.75
2-4,1159.5
2-5,5885.52
2-6,106.07
2-7,468.13
2-8,5127.92
2-9,1174.87
2-10,5558.67
2-11,423.22
2-12,2027.39
2-13,98.23
2-14,986.87
3-4,1625.9
3-5,1010.15
3-6,1863.13
3-7,105.97
3-8,2063.16
3-9,2060.85
3-10,1604.75
3-11,1911.38
3-12,1179.31
3-13,5023.76
3-14,4292.67
4-5,1165.38
4-6,470.69
4-7,2009.65
4-8,1076.48
4-9,5862.41
4-10,4614.03
4-11,4657.79
4-12,863.74
4-13,116.91
4-14,5047.24
5-6,959.04
5-7,88.26
5-8,5929.78
5-9,520.11
5-10,1751.89
5-11,1171.36
5-12,471.4
5-13,1839.1
5-14,486.12
6-7,567.65
6-8,461.07
6-9,92.85
6-10,109.89
6-11,91.2
6-12,1923.05
6-13,4394.19
6-14,436.91
7-8,4002.21
7-9,1192.93
7-10,5060.66
7-11,115.81
7-12,5818.31
7-13,1134.25
7-14,481.42
8-9,1806.13
8-10,897.29
8-11,566.7
8-12,2122.2
8-13,412.59
8-14,1871.86
9-10,487.64
9-11,536.07
9-12,2005.54
9-13,1664.42
9-14,108.11
10-11,928.46
10-12,80.7
10-13,470.49
10-14,993.44
11-12,119.47
11-13,2167.54
11-14,1869.37
12-13,84.75
12-14,545.46
13-14,91.07
