edge,weight
0-1,104.72
0-2,5967.14
0-3,5302.34
0-4,1718.18
0-5,2042.57
0-6,82.37
0-7,1159.95
0-8,1144.29
0-9,801.78
0-10,1972.49
0-11,113.04
0-12,872.67
0-13,2352.24
0-14,102.51
1-2,860.17
1-3,2212.92
1-4,494.92
1-5,1730.92
1-6,2054.27
1-7,89.08
1-8,2006.66
1-9,424.4
1-10,110.48
1-11,461.54
1-12,944.62
1-13,5405.34
1-14,102.66
2-3,5902.21
2-4,1038.89
2-5,506.59
2-6,108.31
2-7,4692.18
2-8,5238.33
2-9,823.29
2-10,1007.04
2-11,4248.89
2-12,107.44
2-13,118.85
2-14,510.68
3-4,84.95
3-5,1802.04
3-6,2150.75
3-7,581.69
3-8,2202.36
3-9,522.48
3-10,829.3
3-11,516.98
3-12,963.05
3-13,1167.98
3-14,513.56
4-5,1160.58
4-6,4379.08
4-7,4525.23
4-8,1134.51
4-9,1095.16
4-10,528.03
4-11,5016.58
4-12,458.18
4-13,117.85
4-14,96.07
5-6,2063.48
5-7,1730.95
5-8,113.37
5-9,80.08
5-10,527.1
5-11,841.11
5-12,805.1
5-13,4513.23
5-14,117.73
6-7,113.14
6-8,106.15
6-9,1744.52
6-10,578.87
6-11,465.77
6-12,1783.67
6-13,2187.54
6-14,486.38
7-8,877.71
7-9,5770.89
7-10,4703.77
7-11,553.75
7-12,531.68
7-13,405.81
7-14,4945.11
8-9,92.49
8-10,408.87
8-11,1901.87
8-12,1109.48
8-13,4149.87
8-14,89.92
9-10,4334.33
9-11,5089.35
9-12,2025.41
9-13,407.66
9-14,4487.08
10-11,876.18
10-12,854.56
10-13,4504.56
10-14,1055.86
11-12,5443.97
11-13,2131.52
11-14,85.25
12-13,111.16
12-14,426.23
13-14,82.78
