node_id,latitude,longitude
0,44.038312,-92.470147
1,39.259468,-76.591957
2,37.472251,-122.183792
3,42.377276,-71.053521
4,34.083465,-118.252883
5,51.470128,-0.13733
6,48.821202,2.357412
7,35.662436,139.694585
8,1.341355,103.863199
9,-33.89016,151.170821
10,43.996581,-92.461332
11,39.297065,-76.630562
12,37.459337,-122.175775
13,42.39745,-71.045985
14,34.089393,-118.256891
15,51.546035,-0.139926
16,48.830238,2.351719
17,35.703262,139.603044
18,1.324581,103.783661
19,-33.832925,151.221605
