node_id,node_identifier,bandwidth_mbps,compute_capability,cpu_cores,data_compliance,gpu_count,memory_gb,node_type,reliability_score,security_level,storage_gb
0,hospital_000,10000,tier_1,128,GDPR,8,128,tier1_hospital,0.978,critical,50000
1,clinic_001,1000,tier_2,16,HIPAA,8,256,tier2_hospital,0.961,standard,5000
2,research_center_002,10000,tier_3,256,HIPAA,16,1024,research_center,0.992,high,50000
3,mobile_unit_003,1000,tier_1,4,HIPAA,1,16,mobile_unit,0.854,high,5000
4,edge_device_004,50,tier_2,2,local,0,8,edge_device,0.809,critical,500
5,hospital_005,5000,tier_1,64,GDPR,8,128,tier1_hospital,0.955,high,20000
6,clinic_006,1000,tier_2,64,GDPR,8,128,tier2_hospital,0.961,critical,20000
7,research_center_007,10000,tier_3,64,PIPEDA,16,512,research_center,0.998,high,20000
8,mobile_unit_008,100,tier_1,16,HIPAA,2,64,mobile_unit,0.797,critical,2000
9,edge_device_009,50,tier_2,2,local,1,16,edge_device,0.892,high,1000
