edge,weight
0-1,115.38
0-2,585.12
0-3,101.71
0-4,1862.33
0-5,2276.99
0-6,908.39
0-7,117.25
0-8,2077.68
0-9,1630.12
0-10,1945.65
0-11,5586.94
0-12,519.94
0-13,2073.59
0-14,5240.55
0-15,5475.45
0-16,530.24
0-17,1731.27
0-18,424.41
0-19,2152.08
1-2,94.89
1-3,4175.22
1-4,2312.47
1-5,889.12
1-6,116.01
1-7,526.1
1-8,573.19
1-9,1816.13
1-10,102.27
1-11,551.8
1-12,2397.42
1-13,2027.66
1-14,881.91
1-15,434.15
1-16,116.04
1-17,1737.71
1-18,112.95
1-19,111.4
2-3,108.51
2-4,593.18
2-5,4102.03
2-6,5122.87
2-7,118.8
2-8,1039.37
2-9,2261.21
2-10,1698.83
2-11,5825.32
2-12,2392.11
2-13,5678.89
2-14,1073.4
2-15,4154.52
2-16,944.34
2-17,1727.5
2-18,1720.77
2-19,1620.11
3-4,530.71
3-5,4553.65
3-6,1055.98
3-7,107.89
3-8,1934.02
3-9,2056.54
3-10,101.53
3-11,4394.63
3-12,1882.15
3-13,100.34
3-14,114.32
3-15,86.58
3-16,1157.32
3-17,539.94
3-18,1651.81
3-19,595.86
4-5,1067.83
4-6,98.93
4-7,5820.42
4-8,83.97
4-9,5360.09
4-10,582.83
4-11,112.22
4-12,2266.25
4-13,114.73
4-14,105.15
4-15,87.8
4-16,112.5
4-17,451.08
4-18,113.27
4-19,485.02
5-6,89.4
5-7,987.63
5-8,98.09
5-9,841.29
5-10,409.79
5-11,834.09
5-12,1768.77
5-13,580.79
5-14,5973.81
5-15,5999.66
5-16,2175.59
5-17,1164.33
5-18,560.02
5-19,2311.19
6-7,5133.31
6-8,400.87
6-9,5568.44
6-10,1658.57
6-11,108.5
6-12,498.16
6-13,108.17
6-14,4575.32
6-15,2167.27
6-16,410.73
6-17,94.17
6-18,822.9
6-19,119.45
7-8,464.9
7-9,2226.59
7-10,901.86
7-11,516.06
7-12,1677.36
7-13,108.1
7-14,581.45
7-15,5674.49
7-16,598.1
7-17,92.71
7-18,4979.47
7-19,1136.48
8-9,588.95
8-10,114.66
8-11,1035.07
8-12,5417.74
8-13,5051.53
8-14,117.02
8-15,4592.64
8-16,80.79
8-17,1072.56
8-18,1608.58
8-19,101.65
9-10,116.15
9-11,5665.29
9-12,90.62
9-13,4184.51
9-14,83.38
9-15,581.23
9-16,113.62
9-17,453.98
9-18,2022.47
9-19,5009.2
10-11,448.54
10-12,416.67
10-13,813.57
10-14,2155.18
10-15,1154.05
10-16,5491.51
10-17,579.29
10-18,4878.34
10-19,509.48
11-12,815.98
11-13,402.41
11-14,924.61
11-15,2238.84
11-16,992.96
11-17,2259.59
11-18,1198.26
11-19,2110.2
12-13,111.2
12-14,2050.43
12-15,1793.75
12-16,2227.37
12-17,1819.9
12-18,2197.97
12-19,452.08
13-14,5804.13
13-15,836.36
13-16,487.34
13-17,1171.76
13-18,538.64
13-19,401.35
14-15,416.16
14-16,4049.96
14-17,5164.62
14-18,1637.39
14-19,1070.99
15-16,402.12
15-17,488.14
15-18,1135.33
15-19,947.59
16-17,4074.89
16-18,1175.18
16-19,1177.26
17-18,811.4
17-19,114.92
18-19,4124.45
