edge,weight
0-1,4167.2
0-2,5945.54
0-3,101.48
0-4,571.6
0-5,90.19
0-6,1793.6
0-7,87.92
0-8,2241.44
0-9,2162.47
1-2,1956.62
1-3,1862.66
1-4,2197.89
1-5,2370.44
1-6,589.98
1-7,1887.27
1-8,846.22
1-9,1717.24
2-3,1075.68
2-4,92.65
2-5,101.08
2-6,1070.36
2-7,102.19
2-8,2068.06
2-9,4933.07
3-4,2303.18
3-5,94.36
3-6,540.5
3-7,119.71
3-8,5932.71
3-9,96.09
4-5,5173.61
4-6,2084.43
4-7,5329.21
4-8,462.54
4-9,1611.83
5-6,95.76
5-7,119.96
5-8,1105.37
5-9,86.25
6-7,1966.12
6-8,5307.32
6-9,454.31
7-8,2181.02
7-9,1011.04
8-9,1127.89
