edge,weight
0-1,1980.07
0-2,87.59
0-3,4671.2
0-4,4389.92
0-5,1947.94
0-6,90.59
0-7,99.08
0-8,94.0
0-9,434.44
1-2,5461.77
1-3,119.05
1-4,431.42
1-5,117.9
1-6,5306.18
1-7,1728.19
1-8,480.91
1-9,2282.42
2-3,1875.14
2-4,4945.15
2-5,109.98
2-6,552.8
2-7,934.7
2-8,4762.62
2-9,4886.21
3-4,101.98
3-5,819.73
3-6,887.74
3-7,487.68
3-8,2295.38
3-9,1149.34
4-5,106.45
4-6,1033.72
4-7,2051.17
4-8,83.58
4-9,4335.43
5-6,4860.53
5-7,2291.23
5-8,490.06
5-9,868.36
6-7,5595.82
6-8,2240.54
6-9,110.36
7-8,1708.84
7-9,449.23
8-9,1050.05
