edge,weight
0-1,534.61
0-2,4648.47
0-3,1876.88
0-4,1988.79
0-5,1099.13
0-6,864.66
0-7,89.36
0-8,1191.11
0-9,2198.4
0-10,458.96
0-11,867.68
0-12,5589.55
0-13,87.1
0-14,5788.51
1-2,857.82
1-3,1981.19
1-4,2392.85
1-5,107.12
1-6,2042.29
1-7,110.35
1-8,108.08
1-9,2303.32
1-10,91.65
1-11,5242.57
1-12,2214.84
1-13,4986.5
1-14,108.18
2-3,91.08
2-4,5630.74
2-5,4076.68
2-6,534.0
2-7,414.61
2-8,1811.11
2-9,1016.01
2-10,5660.6
2-11,1954.86
2-12,2351.87
2-13,478.42
2-14,495.63
3-4,98.88
3-5,1131.68
3-6,5194.22
3-7,4254.81
3-8,5118.65
3-9,557.03
3-10,442.42
3-11,114.67
3-12,96.99
3-13,5727.46
3-14,1769.58
4-5,509.0
4-6,95.32
4-7,1070.43
4-8,523.83
4-9,1945.16
4-10,1778.92
4-11,5816.53
4-12,1751.05
4-13,107.69
4-14,2042.34
5-6,2021.94
5-7,4473.29
5-8,93.73
5-9,1813.18
5-10,570.46
5-11,878.46
5-12,477.3
5-13,5622.39
5-14,85.19
6-7,95.15
6-8,943.96
6-9,115.62
6-10,869.93
6-11,867.48
6-12,2312.94
6-13,104.14
6-14,112.83
7-8,1906.66
7-9,102.21
7-10,2066.26
7-11,4381.78
7-12,1873.08
7-13,2383.55
7-14,4252.21
8-9,967.62
8-10,81.77
8-11,81.42
8-12,1031.33
8-13,80.46
8-14,493.41
9-10,2282.99
9-11,5534.96
9-12,2019.92
9-13,1197.88
9-14,971.78
10-11,499.01
10-12,1185.48
10-13,1165.08
10-14,441.07
11-12,1727.07
11-13,5442.56
11-14,1688.86
12-13,2377.8
12-14,591.54
13-14,1022.52
