round_num,node_0,node_1,node_2,node_3,node_4
1,3.2760844230651855,3.2435381412506104,3.2435381412506104,3.2435381412506104,3.2435381412506104
2,3.247575521469116,3.2441000938415527,3.2442619800567627,3.2443935871124268,3.2446706295013428
3,3.2417073249816895,3.2439754009246826,3.243971109390259,3.2439465522766113,3.243873119354248
4,3.241527557373047,3.243129014968872,3.2429678440093994,3.2428483963012695,3.239194393157959
5,3.2628636360168457,3.2398202419281006,3.2392687797546387,3.2389073371887207,3.238316297531128
6,3.244236946105957,3.242123603820801,3.240546703338623,3.240725040435791,3.241154193878174
7,3.238497018814087,3.2372729778289795,3.242231845855713,3.238962411880493,3.23866868019104
8,3.237236738204956,3.2369771003723145,3.2451369762420654,3.2376701831817627,3.2374231815338135
9,3.2378149032592773,3.2380056381225586,3.2382564544677734,3.2377865314483643,3.2542927265167236
10,3.234057903289795,3.240326404571533,3.240873098373413,3.241265296936035,3.2421531677246094
