node_id,city,country,latitude,longitude,region,timezone
0,Rochester,USA,44.001532,-92.421646,north_america,America/Chicago
1,Baltimore,USA,39.268704,-76.588403,europe,America/New_York
2,Palo Alto,USA,37.455495,-122.129592,asia_pacific,America/Los_Angeles
3,Boston,USA,42.355698,-71.036251,south_america,America/New_York
4,Los Angeles,USA,34.023099,-118.242297,africa,America/Los_Angeles
5,London,UK,51.487271,-0.171955,north_america,Europe/London
6,Paris,France,48.884488,2.369516,europe,Europe/Paris
7,Tokyo,Japan,35.69589,139.641465,asia_pacific,Asia/Tokyo
8,Singapore,Singapore,1.359953,103.838347,south_america,Asia/Singapore
9,Sydney,Australia,-33.834215,151.217384,africa,Australia/Sydney
