timestamp,round_num,total_clients,sampled_clients,num_sampled_clients,client_sampling_rate,actual_client_rate,data_sampling_rates,total_data_points,sampled_data_points,actual_data_rate
1753376786.9891584,1,20,"[0, 10, 3, 8, 4, 7, 15, 2]",8,0.4,0.4,"{0: 1.0, 10: 1.0, 3: 1.0, 8: 1.0, 4: 1.0, 7: 1.0, 15: 1.0, 2: 1.0}",,,
1753376807.1130233,2,20,"[11, 5, 13, 1, 0, 16, 14, 2]",8,0.4,0.4,"{11: 1.0, 5: 1.0, 13: 1.0, 1: 1.0, 0: 1.0, 16: 1.0, 14: 1.0, 2: 1.0}",,,
1753376824.4471288,3,20,"[18, 14, 13, 9, 12, 16, 15, 1]",8,0.4,0.4,"{18: 1.0, 14: 1.0, 13: 1.0, 9: 1.0, 12: 1.0, 16: 1.0, 15: 1.0, 1: 1.0}",,,
1753376842.1046417,4,20,"[9, 18, 0, 7, 1, 13, 16, 14]",8,0.4,0.4,"{9: 1.0, 18: 1.0, 0: 1.0, 7: 1.0, 1: 1.0, 13: 1.0, 16: 1.0, 14: 1.0}",,,
1753376846.65205,5,20,"[1, 5, 15, 6, 14, 8, 10, 9]",8,0.4,0.4,"{1: 1.0, 5: 1.0, 15: 1.0, 6: 1.0, 14: 1.0, 8: 1.0, 10: 1.0, 9: 1.0}",,,
1753376864.3264945,6,20,"[2, 1, 9, 19, 4, 7, 12, 10]",8,0.4,0.4,"{2: 1.0, 1: 1.0, 9: 1.0, 19: 1.0, 4: 1.0, 7: 1.0, 12: 1.0, 10: 1.0}",,,
1753376878.1169672,7,20,"[2, 15, 1, 18, 7, 17, 16, 5]",8,0.4,0.4,"{2: 1.0, 15: 1.0, 1: 1.0, 18: 1.0, 7: 1.0, 17: 1.0, 16: 1.0, 5: 1.0}",,,
1753376893.0395734,8,20,"[2, 18, 7, 10, 5, 1, 13, 17]",8,0.4,0.4,"{2: 1.0, 18: 1.0, 7: 1.0, 10: 1.0, 5: 1.0, 1: 1.0, 13: 1.0, 17: 1.0}",,,
1753376897.3741825,9,20,"[10, 14, 2, 11, 12, 17, 9, 0]",8,0.4,0.4,"{10: 1.0, 14: 1.0, 2: 1.0, 11: 1.0, 12: 1.0, 17: 1.0, 9: 1.0, 0: 1.0}",,,
1753376901.9258502,10,20,"[1, 16, 0, 12, 11, 18, 5, 9]",8,0.4,0.4,"{1: 1.0, 16: 1.0, 0: 1.0, 12: 1.0, 11: 1.0, 18: 1.0, 5: 1.0, 9: 1.0}",,,
