node_id,node_identifier,bandwidth_mbps,compute_capability,cpu_cores,data_compliance,gpu_count,memory_gb,node_type,reliability_score,security_level,storage_gb
0,hospital_000,5000,tier_1,64,GDPR,16,128,tier1_hospital,0.979,high,20000
1,clinic_001,2000,tier_2,16,PIPEDA,2,64,tier2_hospital,0.978,standard,10000
2,research_center_002,20000,tier_3,256,HIPAA,8,512,research_center,0.986,high,50000
3,mobile_unit_003,100,tier_1,4,PIPEDA,2,16,mobile_unit,0.895,critical,5000
4,edge_device_004,100,tier_2,8,GDPR,1,16,edge_device,0.852,high,500
5,hospital_005,5000,tier_1,128,PIPEDA,8,256,tier1_hospital,0.986,standard,50000
6,clinic_006,5000,tier_2,16,GDPR,8,64,tier2_hospital,0.945,critical,20000
7,research_center_007,10000,tier_3,128,GDPR,8,256,research_center,0.991,standard,20000
8,mobile_unit_008,1000,tier_1,16,HIPAA,2,32,mobile_unit,0.85,high,1000
9,edge_device_009,100,tier_2,8,GDPR,0,16,edge_device,0.865,high,1000
