node_id,admin_level,certification,city,country,department,established_year,funding_source,institution_name,institution_type,region,staff_count,timezone
0,international,HIPAA_compliant,Rochester,USA,radiology,2006,mixed,mayo_clinic,tier1_hospital,north_america,4378,America/Chicago
1,national,FedRAMP,Baltimore,USA,oncology,2009,research_grant,johns_hopkins,tier2_hospital,europe,1409,America/New_York
2,national,SOC2,Palo Alto,USA,cardiology,2014,private,stanford_med,research_center,asia_pacific,3012,America/Los_Angeles
3,national,HIPAA_compliant,Boston,USA,neurology,2017,private,mass_general,mobile_unit,south_america,3598,America/New_York
4,regional,SOC2,Los Angeles,USA,pathology,1987,private,ucla_health,edge_device,africa,4090,America/Los_Angeles
5,local,SOC2,London,UK,radiology,1994,mixed,mayo_clinic,tier1_hospital,north_america,1386,Europe/London
6,regional,SOC2,Paris,France,oncology,1988,mixed,johns_hopkins,tier2_hospital,europe,1498,Europe/Paris
7,local,ISO27001,Tokyo,Japan,cardiology,1983,research_grant,stanford_med,research_center,asia_pacific,1650,Asia/Tokyo
8,regional,ISO27001,Singapore,Singapore,neurology,1982,private,mass_general,mobile_unit,south_america,1259,Asia/Singapore
9,national,SOC2,Sydney,Australia,pathology,2020,private,ucla_health,edge_device,africa,1872,Australia/Sydney
